date,n_assets,count_above_mp_raw,count_above_mp_ex_market,top_eig,second_eig,mp_edge
2022-01-10,25,3,2,3.38848269280323,2.7844902755486,1.72914713755506
2022-01-11,25,3,2,3.3558062135061,2.77700630923326,1.72914713755506
2022-01-12,25,3,2,3.36285705743641,2.78644291155382,1.72914713755506
2022-01-13,25,3,2,3.32938801495291,2.79183811133092,1.72914713755506
2022-01-14,25,3,2,3.31268931621839,2.77944775533093,1.72914713755506
2022-01-17,25,3,2,3.32753582822852,2.83851064650657,1.72914713755506
2022-01-18,25,3,2,3.32353781106761,2.77755375810513,1.72914713755506
2022-01-19,25,3,2,3.34242600538232,2.80656200576703,1.72914713755506
2022-01-20,25,3,2,3.34480124064157,2.78455982912188,1.72914713755506
2022-01-21,25,3,2,3.36396600043458,2.77739185695833,1.72914713755506
2022-01-24,25,3,2,3.38013563188067,2.77367675849867,1.72914713755506
2022-01-25,25,3,2,3.37204195726418,2.79700618031151,1.72914713755506
2022-01-26,25,3,2,3.35759727359954,2.80067954787694,1.72914713755506
2022-01-27,25,3,2,3.36072178789416,2.81006041567119,1.72914713755506
2022-01-28,25,3,2,3.3705357769895,2.79544111399885,1.72914713755506
2022-01-31,25,3,2,3.38147666351689,2.80326089766543,1.72914713755506
2022-02-01,25,3,2,3.38891058481087,2.80596795031143,1.72914713755506
2022-02-02,25,3,2,3.37909781119145,2.82167356774305,1.72914713755506
2022-02-03,25,3,2,3.37347723500897,2.78347806973491,1.72914713755506
2022-02-04,25,3,2,3.37124457543489,2.79631989956158,1.72914713755506
2022-02-07,25,3,2,3.36975835458044,2.80673724992413,1.72914713755506
2022-02-08,25,3,2,3.37208370539697,2.78956322421031,1.72914713755506
2022-02-09,25,3,2,3.3803514194585,2.76616716072217,1.72914713755506
2022-02-10,25,3,2,3.39854843957927,2.77265154293893,1.72914713755506
2022-02-11,25,3,2,3.38828862982216,2.76606986618424,1.72914713755506
2022-02-14,25,3,2,3.40950677990978,2.76979310053387,1.72914713755506
2022-02-15,25,3,2,3.3863002068602,2.78976286401672,1.72914713755506
2022-02-16,25,3,2,3.41924606244201,2.77764206915389,1.72914713755506
2022-02-17,25,3,2,3.42136935478694,2.77511844093054,1.72914713755506
2022-02-18,25,3,2,3.41638131587311,2.78580797541138,1.72914713755506
2022-02-21,25,3,2,3.43050916276735,2.78571649162012,1.72914713755506
2022-02-22,25,3,2,3.45249813360944,2.79483679052728,1.72914713755506
2022-02-23,25,3,2,3.44366265524492,2.81050442177262,1.72914713755506
2022-02-24,25,3,2,3.46948709415426,2.83849929555501,1.72914713755506
2022-02-25,25,3,2,3.43065808510348,3.03489603405928,1.72914713755506
2022-02-28,25,3,2,3.37752668158757,3.08080508957011,1.72914713755506
2022-03-01,25,3,2,3.38003376425319,3.16301421802498,1.72914713755506
2022-03-02,25,3,2,3.35289920151882,3.16730511045767,1.72914713755506
2022-03-03,25,3,2,3.32387653261257,3.09701101434962,1.72914713755506
2022-03-04,25,3,2,3.30161879871951,3.06479899715121,1.72914713755506
2022-03-07,25,3,2,3.28869784855729,3.06977847465368,1.72914713755506
2022-03-08,25,3,2,3.26654913444792,3.04734436337707,1.72914713755506
2022-03-09,25,4,3,3.21666550199159,3.08117731276248,1.72914713755506
2022-03-10,25,4,3,3.18818839987332,3.05571276297124,1.72914713755506
2022-03-11,25,4,3,3.18304435981396,3.0552544472437,1.72914713755506
2022-03-14,25,4,3,3.1973886259193,3.01713515777507,1.72914713755506
